query,call_id
Customer is asking for discount on diesel sensor,36037
Customer is asking for discount on diesel sensor,36019
Customer is asking for discount on diesel sensor,36007
Customer is asking for discount on diesel sensor,35864
Customer is asking for discount on diesel sensor,35869
Customer is asking for discount on diesel sensor,35897
Customer is asking for discount on diesel sensor,35984
Customer is asking for discount on diesel sensor,35855
Customer is asking for discount on diesel sensor,35873
Customer is asking for discount on diesel sensor,35915
Customer is asking for discount on diesel sensor,36026
Customer is asking for discount on diesel sensor,35989
Customer declined purchased because he is not confident on the quality of delivery in Diesel sensor,35897
Customer declined purchased because he is not confident on the quality of delivery in Diesel sensor,36037
Customer declined purchased because he is not confident on the quality of delivery in Diesel sensor,35864
Customer declined purchased because he is not confident on the quality of delivery in Diesel sensor,35984
Customer declined purchased because he is not confident on the quality of delivery in Diesel sensor,36046
Customer declined purchased because he is not confident on the quality of delivery in Diesel sensor,35932
Certain feature in product is not working properly,35877
Certain feature in product is not working properly,35928
Certain feature in product is not working properly,35747
Customer declined purchased because blackbuck / competition is offering cheaper diesel sensor,36037
Customer declined purchased because blackbuck / competition is offering cheaper diesel sensor,35897
Customer declined purchased because blackbuck / competition is offering cheaper diesel sensor,35915
Customer declined purchased because blackbuck / competition is offering cheaper diesel sensor,35864
Customer declined purchased because blackbuck / competition is offering cheaper diesel sensor,35869
Customer declined purchased because blackbuck / competition is offering cheaper diesel sensor,35984
Customer declined purchased because blackbuck / competition is offering cheaper diesel sensor,35932
Customer declined purchased because blackbuck / competition is offering cheaper diesel sensor,36049
Customer wants refunds for his diesel sensor because of below expectations performance,35915
Customer wants refunds for his diesel sensor because of below expectations performance,35897
Customer wants refunds for his diesel sensor because of below expectations performance,36019
Customer wants refunds for his diesel sensor because of below expectations performance,36037
Customer wants refunds for his diesel sensor because of below expectations performance,36007
Customer wants refunds for his diesel sensor because of below expectations performance,35932
Customer wants refunds for his diesel sensor because of below expectations performance,35864
Customer wants refunds for his diesel sensor because of below expectations performance,35956
Customer wants refunds for his diesel sensor because of below expectations performance,35984
Customer agreed to purchase diesel sensor,36037
Customer agreed to purchase diesel sensor,35864
Customer agreed to purchase diesel sensor,35897
Customer agreed to purchase diesel sensor,35984
Customer agreed to purchase diesel sensor,36019
Customer agreed to purchase diesel sensor,35855
Customer agreed to purchase diesel sensor,35915
Customer has heard bad reviews of diesel sensor from his colleagues,35984
Customer has heard bad reviews of diesel sensor from his colleagues,36037
Customer has heard bad reviews of diesel sensor from his colleagues,35864
Customer has heard bad reviews of diesel sensor from his colleagues,35897
Customer has heard bad reviews of diesel sensor from his colleagues,36019
Customer has heard bad reviews of diesel sensor from his colleagues,35932
Customer has heard bad reviews of diesel sensor from his colleagues,35855
Customer has heard bad reviews of diesel sensor from his colleagues,35892
Customer has heard bad reviews of diesel sensor from his colleagues,36007
Customer is really angry and using bad language about diesel sensor,35984
Customer is really angry and using bad language about diesel sensor,35851
Customer is really angry and using bad language about diesel sensor,35989
Customer is really angry and using bad language about diesel sensor,36037
Customer is really angry and using bad language about diesel sensor,35897
Customer is really angry and using bad language about diesel sensor,35864
Customer is really angry and using bad language about diesel sensor,36002
Customer is really angry and using bad language about diesel sensor,35892
Customer is really angry and using bad language about diesel sensor,35855
Price too high for diesel sensor,35864
Price too high for diesel sensor,36019
Price too high for diesel sensor,35897
Price too high for diesel sensor,35855
Price too high for diesel sensor,36037
Price too high for diesel sensor,36096
Price too high for diesel sensor,35984
Price too high for diesel sensor,35861
Price too high for diesel sensor,35886
Price too high for diesel sensor,35915
Price too high for diesel sensor,35747
Price too high for diesel sensor,35932
Price too high for diesel sensor,35869
Price too high for diesel sensor,35928
Price too high for diesel sensor,35909
Price too high for diesel sensor,35853
Customer would like to get complete vitamin profile done after a month’s time,35936
Customer would like to get complete vitamin profile done after a month’s time,35764
Diesel sensor gives wrong readings,35984
Diesel sensor gives wrong readings,35864
Diesel sensor gives wrong readings,36037
Diesel sensor gives wrong readings,35897
Diesel sensor gives wrong readings,35851
Diesel sensor gives wrong readings,36046
Diesel sensor gives wrong readings,35835
Diesel sensor gives wrong readings,36019
Diesel sensor gives wrong readings,35799
Diesel sensor gives wrong readings,35932
Diesel sensor gives wrong readings,36007
Not repaying back loan and asking for more time,35870
Not repaying back loan and asking for more time,36042
Not repaying back loan and asking for more time,32451
Not repaying back loan and asking for more time,35862
Not repaying back loan and asking for more time,35848
Not repaying back loan and asking for more time,35970
Not repaying back loan and asking for more time,35976
Not repaying back loan and asking for more time,36102
Not repaying back loan and asking for more time,35975
Not repaying back loan and asking for more time,35855
Not repaying back loan and asking for more time,36107
Not repaying back loan and asking for more time,36046
Not repaying back loan and asking for more time,35879
Happy about India stance on US tariffs ,36052
Happy about India stance on US tariffs ,36089
Annual Fastag plans is live from mid of Aug 2025 and can be purchased from banks,36009
Pitched Diesel sensor to customer,36037
Pitched Diesel sensor to customer,35984
Pitched Diesel sensor to customer,35864
Pitched Diesel sensor to customer,35897
Pitched Diesel sensor to customer,35892
Customer is very happy with diesel sensor performance and would like to buy for his other vehicles,36037
Customer is very happy with diesel sensor performance and would like to buy for his other vehicles,35864
Customer is very happy with diesel sensor performance and would like to buy for his other vehicles,36019
Customer is very happy with diesel sensor performance and would like to buy for his other vehicles,35897
Customer is very happy with diesel sensor performance and would like to buy for his other vehicles,36007
Customer is very happy with diesel sensor performance and would like to buy for his other vehicles,35932
Customer wants to know when he will get the blood test report,35850
Customer wants to know when he will get the blood test report,36011
Customer wants to know when he will get the blood test report,35826
Customer wants to know when he will get the blood test report,32155
"Customer postponed purchase of diesel sensor, will buy later",35897
"Customer postponed purchase of diesel sensor, will buy later",35864
"Customer postponed purchase of diesel sensor, will buy later",36037
"Customer postponed purchase of diesel sensor, will buy later",36007
"Customer postponed purchase of diesel sensor, will buy later",36019
"Customer postponed purchase of diesel sensor, will buy later",35915
"Customer postponed purchase of diesel sensor, will buy later",35932
"Customer postponed purchase of diesel sensor, will buy later",35984
"Customer postponed purchase of diesel sensor, will buy later",35956
"Customer postponed purchase of diesel sensor, will buy later",35937
Conversation reached till price stage in sales conversation for diesel sensor,35984
Conversation reached till price stage in sales conversation for diesel sensor,35897
Conversation reached till price stage in sales conversation for diesel sensor,36037
Conversation reached till price stage in sales conversation for diesel sensor,35864
Conversation reached till price stage in sales conversation for diesel sensor,35892
Conversation reached till price stage in sales conversation for diesel sensor,36007
Customer is facing a bug in the Mobile app,35892
Customer is facing a bug in the Mobile app,35945
Customer is facing a bug in the Mobile app,35903
Customer is facing a bug in the Mobile app,35900
Customer is facing a bug in the Mobile app,35909
Customer is facing a bug in the Mobile app,35763
Customer is facing a bug in the Mobile app,35967
Customer is facing a bug in the Mobile app,36096
Customer is facing a bug in the Mobile app,36035
Home loan interest rates are too high,35870
Home loan interest rates are too high,35855
Home loan interest rates are too high,35909
Home loan interest rates are too high,35937
Home loan interest rates are too high,36009
Home loan interest rates are too high,35864
Home loan interest rates are too high,36107
Home loan interest rates are too high,35936
